City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
579,Tias,ES,28.9611,-13.645,74.88,50,20,16.11,few clouds,2021-06-21 16:54:00
580,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.94,51,83,3.4,broken clouds,2021-06-21 16:54:01
581,Guerrero,MX,17.6667,-100.0,79.07,68,45,2.62,scattered clouds,2021-06-21 16:53:39
582,Bahia Honda,CU,22.9036,-83.1592,89.33,61,63,7.72,broken clouds,2021-06-21 16:54:02
583,Pontianak,ID,-0.0333,109.3333,76.98,94,75,3.44,broken clouds,2021-06-21 16:54:02
584,Fjerritslev,DK,57.0813,9.2664,57.92,81,100,14.61,overcast clouds,2021-06-21 16:54:03
585,Wakkanai,JP,45.4094,141.6739,51.96,60,21,5.68,few clouds,2021-06-21 16:54:03
586,Clonakilty,IE,51.6231,-8.8706,66.09,61,13,12.95,few clouds,2021-06-21 16:54:03
587,Kalmunai,LK,7.4167,81.8167,82.71,79,89,6.42,overcast clouds,2021-06-21 16:54:04
588,Kavaratti,IN,10.5669,72.642,82.53,78,93,17.47,overcast clouds,2021-06-21 16:54:05
589,Tornio,FI,65.8481,24.1466,59.02,96,87,7.7,overcast clouds,2021-06-21 16:54:05
590,Derzhavinsk,KZ,51.1,66.3167,60.19,55,63,10.56,broken clouds,2021-06-21 16:54:05
591,Ahuimanu,US,21.4447,-157.8378,75.85,76,1,5.75,light rain,2021-06-21 16:54:06
592,Evensk,RU,61.95,159.2333,51.94,65,77,3.71,broken clouds,2021-06-21 16:54:06
593,Katsuura,JP,35.1333,140.3,71.71,86,89,3.13,overcast clouds,2021-06-21 16:54:07
594,Hirara,JP,24.8,125.2833,79.68,89,100,18.25,light rain,2021-06-21 16:54:07
595,Trat,TH,12.5,102.5,82.78,91,46,4.72,scattered clouds,2021-06-21 16:54:07
596,Asyut,EG,27.181,31.1837,102.38,14,0,13.76,clear sky,2021-06-21 16:54:08
597,Nefteyugansk,RU,61.0998,72.6035,50.25,71,68,5.23,broken clouds,2021-06-21 16:49:10
598,Shahreza,IR,32.0339,51.8794,81.36,9,0,17.07,clear sky,2021-06-21 16:54:08
599,Coahuayana,MX,18.7333,-103.6833,87.91,64,94,4.54,overcast clouds,2021-06-21 16:54:09
600,Vestmanna,FO,62.1564,-7.1664,47.32,81,75,10.36,broken clouds,2021-06-21 16:54:09
601,Namibe,AO,-15.1961,12.1522,70.25,74,5,5.17,clear sky,2021-06-21 16:54:10
602,Bichena,ET,10.45,38.2,63.63,44,84,3.62,light rain,2021-06-21 16:54:10
603,Kailua,US,21.4022,-157.7394,76.14,71,1,5.75,light rain,2021-06-21 16:50:15
604,Aban,RU,56.67,96.06,43.81,96,61,6.15,broken clouds,2021-06-21 16:54:11
605,Morehead,US,37.2711,-87.1764,84.49,70,75,8.05,broken clouds,2021-06-21 16:54:11
606,Krasnyy Chikoy,RU,50.3643,108.7512,53.91,94,32,3.98,scattered clouds,2021-06-21 16:54:11
607,Port Arthur,CN,38.8,121.2667,71.91,53,22,9.37,few clouds,2021-06-21 16:54:12
608,Birin,NP,26.8865,88.0718,64.0,93,56,3.36,broken clouds,2021-06-21 16:54:12
609,Road Town,VG,18.4167,-64.6167,86.04,70,40,16.11,scattered clouds,2021-06-21 16:54:13
610,Shache,CN,38.4167,77.2406,75.78,27,99,7.11,overcast clouds,2021-06-21 16:54:13
611,Borgomanero,IT,45.7024,8.4581,84.88,90,43,1.01,scattered clouds,2021-06-21 16:54:13
612,Novosergiyevka,RU,52.0934,53.6528,72.9,57,0,3.56,clear sky,2021-06-21 16:54:14
613,Lucea,JM,18.451,-78.1736,89.46,69,24,15.64,few clouds,2021-06-21 16:54:14
614,Katangli,RU,51.7102,143.2326,41.97,87,55,5.73,broken clouds,2021-06-21 16:54:15
615,Meulaboh,ID,4.1363,96.1285,76.35,86,95,6.24,moderate rain,2021-06-21 16:54:15
616,Hillsborough,US,37.5741,-122.3794,72.28,72,40,4.0,scattered clouds,2021-06-21 16:54:15
617,Batagay-Alyta,RU,67.8006,130.4114,63.45,47,67,2.1,broken clouds,2021-06-21 16:54:16
618,Yamethin,MM,20.4333,96.15,76.23,91,59,8.63,broken clouds,2021-06-21 16:54:16
619,Asuncion Ixtaltepec,MX,16.5,-95.05,86.92,63,98,10.69,overcast clouds,2021-06-21 16:54:17
620,Asaba,NG,6.2006,6.7338,74.12,96,99,3.04,moderate rain,2021-06-21 16:54:17
621,Mackay,AU,-21.15,149.2,58.05,93,0,4.61,clear sky,2021-06-21 16:54:18
622,Stykkisholmur,IS,65.0757,-22.7297,47.77,94,100,22.64,moderate rain,2021-06-21 16:54:18
623,Ajdabiya,LY,30.7554,20.2263,80.71,46,0,15.03,clear sky,2021-06-21 16:54:18
624,Zagan,PL,51.6176,15.3149,84.69,65,90,1.72,overcast clouds,2021-06-21 16:54:19
625,Bilibino,RU,68.0546,166.4372,56.68,57,24,3.06,few clouds,2021-06-21 16:54:19
626,Ozernovskiy,RU,51.5,156.5167,42.78,89,25,1.01,scattered clouds,2021-06-21 16:54:19
627,Roald,NO,62.5833,6.1333,57.09,76,75,9.22,broken clouds,2021-06-21 16:54:20
628,Fukue,JP,32.6881,128.8419,73.08,78,41,10.16,scattered clouds,2021-06-21 16:54:20
629,Dzilam Gonzalez,MX,21.2833,-88.9333,93.06,48,82,9.19,broken clouds,2021-06-21 16:54:21
630,Noumea,NC,-22.2763,166.4572,69.01,99,7,3.67,clear sky,2021-06-21 16:54:21
631,Richards Bay,ZA,-28.783,32.0377,65.91,75,0,9.91,clear sky,2021-06-21 16:54:21
632,Bonthe,SL,7.5264,-12.505,77.09,87,100,9.62,moderate rain,2021-06-21 16:54:22
633,Jinxiang,CN,27.4327,120.6062,69.57,86,100,7.47,overcast clouds,2021-06-21 16:54:22
634,Sinaloa,MX,25.0,-107.5,88.11,60,25,4.0,scattered clouds,2021-06-21 16:54:23
635,Musenita,RO,47.9667,26.0,79.47,79,83,5.95,broken clouds,2021-06-21 16:54:23
636,Novyy Urengoy,RU,66.0833,76.6333,47.08,56,51,14.45,broken clouds,2021-06-21 16:50:31
637,Arlit,NE,18.7369,7.3853,106.74,9,12,4.12,few clouds,2021-06-21 16:54:24
638,Novyy Urgal,RU,51.0736,132.5642,56.88,84,20,2.53,few clouds,2021-06-21 16:54:24
639,Zhoucun,CN,36.8167,117.8167,78.57,40,92,3.85,light rain,2021-06-21 16:54:24
640,Pietarsaari,FI,63.65,22.6833,69.93,91,100,11.79,overcast clouds,2021-06-21 16:54:25
641,Sai Buri,TH,6.7013,101.6168,78.28,82,69,5.68,broken clouds,2021-06-21 16:54:25
642,Basco,PH,20.4487,121.9702,83.61,86,100,26.4,overcast clouds,2021-06-21 16:54:26
643,Broome,US,42.2506,-75.833,88.05,62,91,4.0,overcast clouds,2021-06-21 16:54:26
644,Milkovo,RU,54.7167,158.6167,43.95,90,100,3.11,overcast clouds,2021-06-21 16:54:26
645,Callaway,US,30.153,-85.5699,84.18,92,90,5.01,moderate rain,2021-06-21 16:54:27
